Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,Area,Area_reference,Area_sort,Area_hierarchy,Register,Register_reference,Register_sort,Register_hierarchy,Notes
"3,331,888",3331888,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Wales,W92000004,1,,Patients registered at GP practice,LIST,1,,
"399,954",399954,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Wales,W92000004,1,,Obesity (patients aged 16+),OB,16,,
"722,338",722338,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Betsi Cadwaladr,W11000023,2,W92000004,Patients registered at GP practice,LIST,1,,
"89,600",89600,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Betsi Cadwaladr,W11000023,2,W92000004,Obesity (patients aged 16+),OB,16,,
"404,330",404330,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Hywel Dda,W11000025,3,W92000004,Patients registered at GP practice,LIST,1,,
"45,890",45890,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Hywel Dda,W11000025,3,W92000004,Obesity (patients aged 16+),OB,16,,
"404,031",404031,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Swansea Bay,W11000031,4,W92000004,Patients registered at GP practice,LIST,1,,
"45,601",45601,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Swansea Bay,W11000031,4,W92000004,Obesity (patients aged 16+),OB,16,,
"546,935",546935,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff and Vale,W11000029,5,W92000004,Patients registered at GP practice,LIST,1,,
"51,235",51235,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff and Vale,W11000029,5,W92000004,Obesity (patients aged 16+),OB,16,,
"474,895",474895,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cwm Taf Morgannwg,W11000030,6,W92000004,Patients registered at GP practice,LIST,1,,
"64,576",64576,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cwm Taf Morgannwg,W11000030,6,W92000004,Obesity (patients aged 16+),OB,16,,
"637,099",637099,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Aneurin Bevan,W11000028,7,W92000004,Patients registered at GP practice,LIST,1,,
"84,444",84444,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Aneurin Bevan,W11000028,7,W92000004,Obesity (patients aged 16+),OB,16,,
"142,260",142260,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Powys,W11000024,8,W92000004,Patients registered at GP practice,LIST,1,,
"18,608",18608,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Powys,W11000024,8,W92000004,Obesity (patients aged 16+),OB,16,,
"66,276",66276,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Anglesey,CC101,9,W11000023,Patients registered at GP practice,LIST,1,,
"8,962",8962,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Anglesey,CC101,9,W11000023,Obesity (patients aged 16+),OB,16,,
"67,960",67960,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Arfon,CC102,10,W11000023,Patients registered at GP practice,LIST,1,,
"6,670",6670,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Arfon,CC102,10,W11000023,Obesity (patients aged 16+),OB,16,,
"42,940",42940,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Central & South Denbighshire,CC103,11,W11000023,Patients registered at GP practice,LIST,1,,
"4,446",4446,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Central & South Denbighshire,CC103,11,W11000023,Obesity (patients aged 16+),OB,16,,
"53,298",53298,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Conwy East,CC104,12,W11000023,Patients registered at GP practice,LIST,1,,
"6,691",6691,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Conwy East,CC104,12,W11000023,Obesity (patients aged 16+),OB,16,,
"64,472",64472,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Conwy West,CC105,13,W11000023,Patients registered at GP practice,LIST,1,,
"7,397",7397,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Conwy West,CC105,13,W11000023,Obesity (patients aged 16+),OB,16,,
"62,823",62823,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North East Flintshire,CC106,14,W11000023,Patients registered at GP practice,LIST,1,,
"8,666",8666,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North East Flintshire,CC106,14,W11000023,Obesity (patients aged 16+),OB,16,,
"37,909",37909,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Dwyfor & North Meirionnydd,CC107,15,W11000023,Patients registered at GP practice,LIST,1,,
"4,297",4297,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Dwyfor & North Meirionnydd,CC107,15,W11000023,Obesity (patients aged 16+),OB,16,,
"40,906",40906,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North West Flintshire,CC108,16,W11000023,Patients registered at GP practice,LIST,1,,
"5,291",5291,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North West Flintshire,CC108,16,W11000023,Obesity (patients aged 16+),OB,16,,
"19,456",19456,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Meirionnydd,CC109,17,W11000023,Patients registered at GP practice,LIST,1,,
"2,681",2681,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Meirionnydd,CC109,17,W11000023,Obesity (patients aged 16+),OB,16,,
"52,902",52902,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Flintshire,CC110,18,W11000023,Patients registered at GP practice,LIST,1,,
"5,261",5261,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Flintshire,CC110,18,W11000023,Obesity (patients aged 16+),OB,16,,
"62,200",62200,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Denbighshire,CC111,19,W11000023,Patients registered at GP practice,LIST,1,,
"8,050",8050,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Denbighshire,CC111,19,W11000023,Obesity (patients aged 16+),OB,16,,
"52,969",52969,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Wrexham,CC112,20,W11000023,Patients registered at GP practice,LIST,1,,
"7,462",7462,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Wrexham,CC112,20,W11000023,Obesity (patients aged 16+),OB,16,,
"37,432",37432,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North & West Wrexham,CC113,21,W11000023,Patients registered at GP practice,LIST,1,,
"5,406",5406,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North & West Wrexham,CC113,21,W11000023,Obesity (patients aged 16+),OB,16,,
"60,795",60795,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Central Wrexham,CC114,22,W11000023,Patients registered at GP practice,LIST,1,,
"8,320",8320,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Central Wrexham,CC114,22,W11000023,Obesity (patients aged 16+),OB,16,,
"60,791",60791,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Amman/Gwendraeth,CC201,23,W11000025,Patients registered at GP practice,LIST,1,,
"7,584",7584,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Amman/Gwendraeth,CC201,23,W11000025,Obesity (patients aged 16+),OB,16,,
"62,725",62725,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Llanelli,CC202,24,W11000025,Patients registered at GP practice,LIST,1,,
"7,466",7466,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Llanelli,CC202,24,W11000025,Obesity (patients aged 16+),OB,16,,
"46,991",46991,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Ceredigion,CC203,25,W11000025,Patients registered at GP practice,LIST,1,,
"4,859",4859,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Ceredigion,CC203,25,W11000025,Obesity (patients aged 16+),OB,16,,
"69,081",69081,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Pembrokeshire,CC204,26,W11000025,Patients registered at GP practice,LIST,1,,
"6,682",6682,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Pembrokeshire,CC204,26,W11000025,Obesity (patients aged 16+),OB,16,,
"48,111",48111,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Ceredigion,CC205,27,W11000025,Patients registered at GP practice,LIST,1,,
"5,204",5204,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Ceredigion,CC205,27,W11000025,Obesity (patients aged 16+),OB,16,,
"56,074",56074,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Pembrokeshire,CC206,28,W11000025,Patients registered at GP practice,LIST,1,,
"7,392",7392,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Pembrokeshire,CC206,28,W11000025,Obesity (patients aged 16+),OB,16,,
"60,557",60557,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Taf / Tywi,CC207,29,W11000025,Patients registered at GP practice,LIST,1,,
"6,703",6703,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Taf / Tywi,CC207,29,W11000025,Obesity (patients aged 16+),OB,16,,
"38,263",38263,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Afan,CC301,30,W11000031,Patients registered at GP practice,LIST,1,,
"4,479",4479,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Afan,CC301,30,W11000031,Obesity (patients aged 16+),OB,16,,
"75,610",75610,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,BayHealth,CC302,31,W11000031,Patients registered at GP practice,LIST,1,,
"6,526",6526,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,BayHealth,CC302,31,W11000031,Obesity (patients aged 16+),OB,16,,
"86,075",86075,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bridgend East Network,CC509,32,W11000030,Patients registered at GP practice,LIST,1,,
"8,516",8516,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bridgend East Network,CC509,32,W11000030,Obesity (patients aged 16+),OB,16,,
"43,851",43851,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bridgend North Network,CC510,33,W11000030,Patients registered at GP practice,LIST,1,,
"7,721",7721,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bridgend North Network,CC510,33,W11000030,Obesity (patients aged 16+),OB,16,,
"34,730",34730,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bridgend West Network,CC511,34,W11000030,Patients registered at GP practice,LIST,1,,
"3,883",3883,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bridgend West Network,CC511,34,W11000030,Obesity (patients aged 16+),OB,16,,
"56,260",56260,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,CityHealth,CC306,35,W11000031,Patients registered at GP practice,LIST,1,,
"6,142",6142,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,CityHealth,CC306,35,W11000031,Obesity (patients aged 16+),OB,16,,
"43,441",43441,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cwmtawe,CC307,36,W11000031,Patients registered at GP practice,LIST,1,,
"4,944",4944,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cwmtawe,CC307,36,W11000031,Obesity (patients aged 16+),OB,16,,
"49,911",49911,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Llwchwr,CC308,37,W11000031,Patients registered at GP practice,LIST,1,,
"5,314",5314,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Llwchwr,CC308,37,W11000031,Obesity (patients aged 16+),OB,16,,
"70,246",70246,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Neath,CC309,38,W11000031,Patients registered at GP practice,LIST,1,,
"9,213",9213,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Neath,CC309,38,W11000031,Obesity (patients aged 16+),OB,16,,
"37,931",37931,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Penderi,CC310,39,W11000031,Patients registered at GP practice,LIST,1,,
"5,334",5334,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Penderi,CC310,39,W11000031,Obesity (patients aged 16+),OB,16,,
"32,369",32369,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Upper Valleys,CC311,40,W11000031,Patients registered at GP practice,LIST,1,,
"3,649",3649,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Upper Valleys,CC311,40,W11000031,Obesity (patients aged 16+),OB,16,,
"59,396",59396,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff East,CC411,41,W11000029,Patients registered at GP practice,LIST,1,,
"7,405",7405,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff East,CC411,41,W11000029,Obesity (patients aged 16+),OB,16,,
"67,842",67842,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Cardiff South East,CC412,42,W11000029,Patients registered at GP practice,LIST,1,,
